correct,incorrect
"Barb loved the feel of the waves on her feet, but she hated to walk barefoot. As a compromise, she usually wore a pair of sandals","Barb loved the feel of the waves on her feet, but she hated to walk barefoot. As a compromise, she usually wore a pair of boots"
"By the end of the day, the hiker’s feet were extremely cold and wet. It was the last time he would ever buy a cheap pair of boots","By the end of the day, the hiker’s feet were extremely cold and wet. It was the last time he would ever buy a cheap pair of sandals"
Everyone agreed that the stone-washed kind were out of style. But he continued to wear the same old pair of jeans,Everyone agreed that the stone-washed kind were out of style. But he continued to wear the same old pair of shorts
"As the afternoon progressed, it became hotter and hotter. Keith finally decided to put on a pair of shorts","As the afternoon progressed, it became hotter and hotter. Keith finally decided to put on a pair of jeans"
Pablo wanted to cut the lumber he had bought to make some shelves. He asked his neighbor if he could borrow her saw,Pablo wanted to cut the lumber he had bought to make some shelves. He asked his neighbor if he could borrow her hammer
"Tina lined up where she thought the nail should go. When she was satisfied, she asked Bruce to hand her the hammer","Tina lined up where she thought the nail should go. When she was satisfied, she asked Bruce to hand her the saw"
"The snow had piled up on the drive so high that they couldn’t get the car out. When Albert woke up, his father handed him a shovel","The snow had piled up on the drive so high that they couldn’t get the car out. When Albert woke up, his father handed him a rake"
The yard was completely covered with a thick layer of dead leaves. Erica decided it was time to get out the rake,The yard was completely covered with a thick layer of dead leaves. Erica decided it was time to get out the shovel
"Fred went to the pantry and got out the homemade jelly his grandmother had brought. Fifteen minutes later, however, he was still struggling to open the jar","Fred went to the pantry and got out the homemade jelly his grandmother had brought. Fifteen minutes later, however, he was still struggling to open the box"
"After they unpacked the new refrigerator, they let Billy have his fun. He played for days afterwards with the big box","After they unpacked the new refrigerator, they let Billy have his fun. He played for days afterwards with the big jar"
It seemed to catch every time she opened or closed her backpack. She decided she would have to replace the zipper,It seemed to catch every time she opened or closed her backpack. She decided she would have to replace the button
"One fell off her blouse and got lost, and she didn’t have any extras. She ended up searching all over town to find a matching button","One fell off her blouse and got lost, and she didn’t have any extras. She ended up searching all over town to find a matching zipper"
“I’m an animal like Eeyore!” the child exclaimed. His mother wondered why he was pretending to be a donkey,“I’m an animal like Eeyore!” the child exclaimed. His mother wondered why he was pretending to be a zebra
"At the zoo, my sister asked if they painted the black and white stripes on the animal. I explained to her that they were natural features of a zebra","At the zoo, my sister asked if they painted the black and white stripes on the animal. I explained to her that they were natural features of a donkey"
