sent_correct,sent_wrong
The family moved from the building and prospered in their new house.,The family moved from the building and exploded in their new house.
The guest passed the food and ate some of the chocolate cake.,The guest passed the food and hired some of the chocolate cake.
The attorney phoned from Chicago and relented about the deal.,The attorney phoned from Chicago and brushed about the deal.
The girl told a scary story and cried for several hours.,The girl told a scary story and wrote for several hours.
The lion watched for several hours and attacked the sickly deer.,The lion watched for several hours and sank the sickly deer.
The man served the wine and drank several glasses before dinner.,The man served the wine and popped several glasses before dinner.
The lady left the money and disappeared without a trace.,The lady left the money and flushed without a trace.
The young couple sold the house and moved into an apartment.,The young couple sold the house and landed into an apartment.
The lawyer sued for malpractice and won the court case.,The lawyer sued for malpractice and bit the court case.
The man read the letter and responded with an angry reply.,The man read the letter and popped with an angry reply.
The banker sent the large check and celebrated the financial deal.,The banker sent the large check and saluted the financial deal.
The logs floated down the river and sank during the storm.,The logs floated down the river and sneezed during the storm.
The baby showed the doll and smiled happily for several minutes.,The baby showed the doll and bargained happily for several minutes.
The hockey player pushed off the ice and scored the winning goal.,The hockey player pushed off the ice and lectured the winning goal.
The airplane raced through the sky and landed at the airport.,The airplane raced through the sky and laughed at the airport.
The ball rolled down the hill and broke into several pieces.,The ball rolled down the hill and resigned into several pieces.
The bottle rolled down the hill and broke into several pieces.,The bottle rolled down the hill and resigned into several pieces.
The bullet shot out of the gun and missed its target.,The bullet shot out of the gun and celebrated its target.
The horse rested in the stable and slept for several hours.,The horse rested in the stable and saluted for several hours.
The woman asked for a divorce and cried after receiving the papers.,The woman asked for a divorce and sank after receiving the papers.
The clerk refused a promotion and quit in disgust.,The clerk refused a promotion and floated in disgust.
The reporter paid for the information and smiled in anticipation of the story.,The reporter paid for the information and barked in anticipation of the story.
The patient expected to recover and died of complications.,The patient expected to recover and docked of complications.
The man stopped in the alley and fled before the police arrived.,The man stopped in the alley and steered before the police arrived.
The soldier issued the order and saluted to with his commanding officer.,The soldier issued the order and saluted collided with his commanding officer.
The woman rushed down the hall and slipped on a banana peel.,The woman rushed down the hall and bit on a banana peel.
The broker called into the office and left in a huff.,The broker called into the office and burned in a huff.
The dog hurried through the park and barked at a running squirrel.,The dog hurried through the park and yelled at a running squirrel.
The soldier tossed the grenade and ducked into a foxhole.,The soldier tossed the grenade and danced into a foxhole.
The boy left in the car and whined about his parents.,The boy left in the car and popped about his parents.
The actress moved to Los Angeles and unpacked her bags.,The actress moved to Los Angeles and sank her bags.
The senator read the legislation and voted in favor of the measure.,The senator read the legislation and flushed in favor of the measure.
The girl bought the nightgown and blushed at the thought of wearing it.,The girl bought the nightgown and floated at the thought of wearing it.
The executive denied the request and quit his job the next day.,The executive denied the request and flew his job the next day.
The woman sent the bad news and fainted into the arms of her husband.,The woman sent the bad news and broke into the arms of her husband.
The loan shark mailed the loot and disappeared for three years.,The loan shark mailed the loot and saluted for three years.
The passenger left on the boat and drowned during the storm.,The passenger left on the boat and barked during the storm.
The old woman sold the farm and died two months later.,The old woman sold the farm and collided two months later.
The customer refused the seat and left a very small tip.,The customer refused the seat and chomped a very small tip.
The actor read the poor review and cursed the newspaper critic.,The actor read the poor review and brushed the newspaper critic.
The driver stopped at the light and waited for the light to change.,The driver stopped at the light and broke for the light to change.
The lawyer sent the good news and celebrated with a bottle of wine.,The lawyer sent the good news and steered with a bottle of wine.
The balloon floated in the air and popped with a loud bang.,The balloon floated in the air and slept with a loud bang.
The lady pushed into the cab and complained about the rude service.,The lady pushed into the cab and chopped about the rude service.
